"student_id","last_name","first_name","email","birth_date","hometown","math_score","literature_score","english_score"
"SV0032","Vũ","Dung","dung.vu32@example.com","2006-07-20","Thái Nguyên","7.79","","4.14"
"SV0033","Võ","Bình","binh.vo33@example.com","","Đồng Tháp","9.38","2.11",""
"SV0034","","","","2002-04-30","Bến Tre","","6.94",""
"SV0035","Lý","Linh","linh.ly35@example.com","2004-04-27","Yên Bái","","7.19","3.04"
"SV0036","Hồ","Linh","","2002-06-25","Đắk Nông","8.90","7.13","6.21"
"SV0037","Lý","An","an.ly37@example.com","2004-12-22","TP. Hồ Chí Minh","7.41","","3.90"
"SV0038","Lý","","","","","7.27","1.49","2.53"
"SV0039","Nguyễn","Nam","","2005-10-10","Vĩnh Long","0.56","6.00","4.37"
"SV0040","Bùi","Nam","nam.bui40@example.com","2000-03-02","Quảng Nam","2.41","","6.56"
"SV0041","Lý","An","an.ly41@example.com","2004-02-02","Quảng Bình","6.18","4.02",""
"SV0042","Đặng","","","2002-10-19","Hậu Giang","7.57","","0.26"
"SV0043","Hoàng","Sơn","son.hoang43@example.com","2004-04-20","Khánh Hòa","8.52","0.95","0.03"
"SV0044","Ngô","Quân","","2001-03-03","Quảng Ngãi","0.70","","7.28"
"SV0045","Lê","","","2002-03-11","Hòa Bình","2.13","0.44",""
"SV0046","Huỳnh","Quân","","2002-04-11","Bình Định","","3.46","9.44"
"SV0047","Nguyễn","","","2000-01-02","Sóc Trăng","4.41","7.02",""
"SV0048","Bùi","An","an.bui48@example.com","2000-05-29","Quảng Bình","4.98","0.99","6.83"
"SV0049","","Tâm","","","","2.31","7.40",""
"SV0050","","Nam","","","Tây Ninh","8.14","7.35","7.56"
"SV0051","Bùi","Phong","","2002-11-18","Tuyên Quang","9.76","","0.23"
"SV0052","Lý","Quân","quan.ly52@example.com","2003-01-27","Gia Lai","","8.23","5.08"
"SV0053","Vũ","Phong","phong.vu53@example.com","2001-10-10","Lâm Đồng","","8.08",""
"SV0054","Võ","Uyên","uyen.vo54@example.com","2006-05-25","Tiền Giang","","4.41","5.78"
"SV0055","Vũ","Hà","","2000-10-21","Hòa Bình","2.49","2.56","0.93"
"SV0056","Bùi","Dung","dung.bui56@example.com","2006-03-29","Lai Châu","","","0.38"
"SV0057","","","","2003-07-04","Thái Nguyên","9.34","0.77",""
"SV0058","Võ","Uyên","","2004-07-26","Hà Nam","","4.00",""
"SV0059","Nguyễn","Chi","chi.nguyen59@example.com","2003-06-17","Phú Thọ","1.61","1.00",""
"SV0060","Đỗ","Yến","yen.do60@example.com","2001-12-02","Gia Lai","2.41","2.93",""
"SV0061","Trần","","","2001-04-23","Hà Nội","6.80","8.01","0.35"
"SV0062","","","","","Bình Thuận","5.28","","0.63"
"SV0063","","Yến","","2006-11-01","Hà Giang","5.50","0.15","0.62"
"SV0064","Nguyễn","","","2001-07-05","","6.72","9.49","1.77"
"SV0065","Phạm","Chi","","2004-04-07","Thái Nguyên","1.26","",""
"SV0066","Huỳnh","Linh","linh.huynh66@example.com","2003-09-07","","9.20","9.87","7.26"
"SV0067","Trần","Xuân","xuan.tran67@example.com","2000-04-05","Trà Vinh","2.70","6.84",""
"SV0068","Trần","Chi","chi.tran68@example.com","2003-05-05","Sơn La","","2.64","0.20"
"SV0069","Lý","Uyên","uyen.ly69@example.com","2004-02-16","Tuyên Quang","6.90","7.18","6.65"
"SV0070","","Chi","","2001-02-02","Bắc Giang","2.82","4.49",""
"SV0071","Nguyễn","Yến","yen.nguyen71@example.com","2001-02-11","Hà Nội","4.29","4.20",""
"SV0072","Hoàng","Uyên","uyen.hoang72@example.com","2005-05-26","","0.86","6.34",""
"SV0073","","Chi","","2002-04-09","","3.35","","0.53"
"SV0074","Hồ","","","","Quảng Trị","8.02","","4.08"
"SV0075","Đặng","Linh","","2001-10-18","Bạc Liêu","5.86","2.94",""
"SV0076","Vũ","An","","2004-09-05","Thanh Hóa","1.93","0.03",""
"SV0077","","Hùng","","2000-04-13","Hải Phòng","","5.09","7.91"
"SV0078","Hồ","Sơn","son.ho78@example.com","2001-02-13","Bạc Liêu","7.20","3.12",""
"SV0079","Võ","Uyên","uyen.vo79@example.com","","Đà Lạt","7.92","8.86","7.12"
"SV0080","","","","2000-01-27","","1.59","","6.24"
"SV0081","Dương","Tâm","tam.duong81@example.com","2003-03-09","Lào Cai","","0.70",""
"SV0082","Hồ","Hùng","","2000-03-01","Đồng Tháp","4.31","","8.86"
"SV0083","Phạm","","","2004-10-08","Nam Định","2.12","",""
"SV0084","Lê","Linh","","2004-11-26","Đà Nẵng","","0.37","3.08"
"SV0085","Lý","Bình","binh.ly85@example.com","2001-10-17","Hà Nội","2.84","","2.74"
"SV0086","Đỗ","Yến","yen.do86@example.com","","Cà Mau","2.56","6.85","7.71"
"SV0087","Lê","Xuân","xuan.le87@example.com","","Sóc Trăng","","3.88","2.70"
"SV0088","Lý","Quân","quan.ly88@example.com","2002-09-10","Hà Tĩnh","4.95","4.58","3.93"
"SV0089","","Hà","","2000-04-19","Bình Định","4.05","0.66","2.43"
"SV0090","Ngô","Dung","","2001-10-02","Cần Thơ","2.67","2.69","7.15"
"SV0091","Hoàng","Hà","ha.hoang91@example.com","2004-02-23","Bà Rịa - Vũng Tàu","0.83","4.55","9.61"
"SV0092","","Văn","","2006-08-17","Đắk Lắk","2.50","",""
"SV0093","Ngô","","","2001-02-07","Đồng Nai","9.70","0.25",""
"SV0094","","","","2001-04-16","Quảng Bình","4.16","",""
"SV0095","Trần","Hà","","2006-03-31","Bắc Giang","3.15","","2.82"
"SV0096","Đặng","Phong","phong.dang96@example.com","","Hòa Bình","8.01","1.89","7.61"
"SV0097","","Sơn","","2000-06-22","","8.20","7.90",""
"SV0098","","Chi","","2005-10-29","Bắc Kạn","","6.97","8.51"
"SV0099","Nguyễn","Uyên","","2002-06-13","Bạc Liêu","","4.91","9.72"
"SV0100","Bùi","Phong","phong.bui100@example.com","2000-03-28","Quảng Nam","","9.34",""
